17??0??1	1	86	-204.8	-204.8	-204.8	-204.8	27.3	-204.8	-204.8
17??0??1	1	86.7	-204.8	-204.8	-204.8	-204.8	27.3	-204.8	-204.8
17??0??1	1	87.3	-204.8	-204.8	-204.8	-204.8	27.3	-204.8	-204.8
17??0??1	1	87.9	-204.8	-204.8	-204.8	-204.8	27.2	-204.8	-204.8
17??0??1	1	88.4	-204.8	-204.8	-204.8	-204.8	27.2	-204.8	-204.8
17??0??1	1	89.4	-204.8	-204.8	-204.8	-204.8	27.2	-204.8	-204.8
17??0??2	1	89.9	-204.8	-204.8	-204.8	-204.8	27.2	-204.8	-204.8
17??0??2	1	90.4	-204.8	-204.8	-204.8	-204.8	27.2	-204.8	-204.8
17??0??2	1	90.9	-204.8	-204.8	-204.8	-204.8	27.1	-204.8	-204.8
17??0??2	1	91.4	-204.8	-204.8	-204.8	-204.8	27.1	-204.8	-204.8
17??0??2	1	91.9	-204.8	-204.8	-204.8	-204.8	27.1	-204.8	-204.8
17??0??2	1	92.4	-204.8	-204.8	-204.8	-204.8	27.1	-204.8	-204.8
17??0??2	1	92.9	-204.8	-204.8	-204.8	-204.8	27.1	-204.8	-204.8
17??0??2	1	94	-204.8	-204.8	-204.8	-204.8	27.1	-204.8	-204.8
17??0??2	1	94.6	-204.8	-204.8	-204.8	-204.8	27.1	-204.8	-204.8
17??0??2	1	95.2	-204.8	-204.8	-204.8	-204.8	27.1	-204.8	-204.8
17??0??3	1	95.7	-204.8	-204.8	-204.8	-204.8	27.1	-204.8	-204.8
17??0??3	1	96.2	-204.8	-204.8	-204.8	-204.8	27.1	-204.8	-204.8
17??0??3	1	96.7	-204.8	-204.8	-204.8	-204.8	27.1	-204.8	-204.8
17??0??3	1	97.2	-204.8	-204.8	-204.8	-204.8	27.1	-204.8	-204.8
17??0??3	1	98.2	-204.8	-204.8	-204.8	-204.8	27.1	-204.8	-204.8
17??0??3	1	98.7	-204.8	-204.8	-204.8	-204.8	27.1	-204.8	-204.8
17??0??3	1	99.2	-204.8	-204.8	-204.8	-204.8	27	-204.8	-204.8
17??0??3	1	99.8	-204.8	-204.8	-204.8	-204.8	27	-204.8	-204.8
17??0??3	1	100.2	-204.8	-204.8	-204.8	-204.8	27	-204.8	-204.8
17??0??4	1	100.7	-204.8	-204.8	-204.8	-204.8	27	-204.8	-204.8
17??0??4	1	101.2	-204.8	-204.8	-204.8	-204.8	27	-204.8	-204.8
17??0??4	1	102.1	-204.8	-204.8	-204.8	-204.8	27	-204.8	-204.8
17??0??4	1	102.6	-204.8	-204.8	-204.8	-204.8	27	-204.8	-204.8
17??0??4	1	103	-204.8	-204.8	-204.8	-204.8	27	-204.8	-204.8
17??0??4	1	103.5	-204.8	-204.8	-204.8	-204.8	27	-204.8	-204.8
17??0??4	1	103.9	-204.8	-204.8	-204.8	-204.8	27	-204.8	-204.8
17??0??4	1	104.4	-204.8	-204.8	-204.8	-204.8	27	-204.8	-204.8
17??0??4	1	104.8	-204.8	-204.8	-204.8	-204.8	27	-204.8	-204.8
17??0??5	1	105.4	-204.8	-204.8	-204.8	-204.8	27	-204.8	-204.8
17??0??5	1	106.5	-204.8	-204.8	-204.8	-204.8	27	-204.8	-204.8
17??0??5	1	107.1	-204.8	-204.8	-204.8	-204.8	27	-204.8	-204.8
17??0??5	1	107.6	-204.8	-204.8	-204.8	-204.8	27	-204.8	-204.8
17??0??5	1	108	-204.8	-204.8	-204.8	-204.8	27	-204.8	-204.8
17??0??5	1	108.5	-204.8	-204.8	-204.8	-204.8	27	-204.8	-204.8
17??0??5	1	109	-204.8	-204.8	-204.8	-204.8	27	-204.8	-204.8
17??0??5	1	109.4	-204.8	-204.8	-204.8	-204.8	27	-204.8	-204.8
17??0??5	1	109.6	-204.8	-204.8	-204.8	-204.8	27	-204.8	-204.8
17??0??5	1	109.4	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??0	1	109.1	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??0	1	108.7	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??0	1	108.4	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??0	1	108	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??0	1	107.5	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??0	1	106.4	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??0	1	105.8	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??0	1	105.2	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??0	1	104.6	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??1	1	104.1	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??1	1	103.5	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??1	1	102.9	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??1	1	102.4	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??1	1	101.3	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??1	1	100.7	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??1	1	100.2	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??1	1	99.5	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??1	1	98.9	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??2	1	98.3	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??2	1	97.7	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??2	1	96.7	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??2	1	96.2	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??2	1	95.7	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??2	1	95.2	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??2	1	94.6	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??2	1	94.1	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??2	1	93.5	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??3	1	92.3	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??3	1	91.6	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??3	1	91	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??3	1	90.4	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??3	1	89.8	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??3	1	89.2	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??3	1	88.6	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??3	1	87.5	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??3	1	87	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??3	1	86.6	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??4	1	86.2	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??4	1	85.7	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??4	1	85.3	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??4	1	84.8	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??4	1	84.3	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??4	1	83.3	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??4	1	82.8	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??4	1	82.2	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??4	1	81.7	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??5	1	81.3	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??5	1	80.8	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??5	1	80.4	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??5	1	79.4	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??5	1	79	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??5	1	78.5	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??5	1	78	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??5	1	77.5	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??1??5	1	77	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??0	1	76.4	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??0	1	75.5	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??0	1	75.1	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??0	1	74.7	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??0	1	74.3	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??0	1	74.1	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??0	1	74	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??0	1	74	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??0	1	74.3	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??0	1	74.5	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??1	1	74.9	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??1	1	75.2	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??1	1	75.5	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??1	1	75.9	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??1	1	76.3	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??1	1	76.8	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??1	1	77.8	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??1	1	78.4	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??1	1	78.9	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??2	1	79.3	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??2	1	79.8	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??2	1	80.3	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
17??2??2	1	80.8	-204.8	-204.8	-204.8	-204.8	26.9	-204.8	-204.8
